priority,brand,model,variant,platform,launch_price,official_store,product_url,public_price,gov_price,billion_subsidy_price,evidence_path,review_status,reviewer
MEDIUM,realme,真我GT8,16GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT7,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,realme,真我GT7,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT7,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT7,24GB+1TB,jd,,,,,,,,pending,
MEDIUM,realme,真我GT7,24GB+1TB,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT7,24GB+1TB,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT7 Pro,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,realme,真我GT7 Pro,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT7 Pro,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,12GB+256,jd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,12GB+256,tmall,,,,,,,,pending,
MEDIUM,realme,真我Neo8,12GB+256,pdd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+256,jd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+256,tmall,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+256,pdd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,12GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,12GB+512,tmall,,,,,,,,pending,
MEDIUM,realme,真我Neo8,12GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+512,tmall,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,realme,真我Neo8,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,realme,真我Neo7 Turbo,16GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我Neo7 Turbo,16GB+512,tmall,,,,,,,,pending,
MEDIUM,realme,真我Neo7 Turbo,16GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我15 Pro,16GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我15 Pro,16GB+512,tmall,,,,,,,,pending,
MEDIUM,realme,真我15 Pro,16GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我V70,8GB+256,jd,,,,,,,,pending,
MEDIUM,realme,真我V70,8GB+256,tmall,,,,,,,,pending,
MEDIUM,realme,真我V70,8GB+256,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,12GB+256,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,12GB+256,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,12GB+256,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,12GB+512,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,12GB+512,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,12GB+512,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26 Ultra,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,12GB+256,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,12GB+256,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,12GB+256,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,12GB+512,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,12GB+512,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,12GB+512,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S26,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,12GB+256,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,12GB+256,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,12GB+256,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,12GB+512,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,12GB+512,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,12GB+512,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Fold8,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Flip8,12GB+256,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Flip8,12GB+256,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Flip8,12GB+256,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Flip8,12GB+512,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Flip8,12GB+512,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy Z Flip8,12GB+512,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25 Ultra,12GB+256,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25 Ultra,12GB+256,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25 Ultra,12GB+256,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25 Ultra,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25 Ultra,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25 Ultra,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25,12GB+256,jd,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25,12GB+256,tmall,,,,,,,,pending,
MEDIUM,三星,Samsung Galaxy S25,12GB+256,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,12GB+256,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,12GB+256,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 22,12GB+256,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,12GB+512,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,12GB+512,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 22,12GB+512,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,16GB+512,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,16GB+512,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 22,16GB+512,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 22,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 22,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16 Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16 Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16 Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16 Pro,16GB+512,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16 Pro,16GB+512,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16 Pro,16GB+512,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,8GB+128,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,8GB+128,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,8GB+128,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,8GB+256,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,8GB+256,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,8GB+256,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,12GB+256,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,12GB+256,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 Note 16,12GB+256,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 Lucky 08,8GB+256,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 Lucky 08,8GB+256,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 Lucky 08,8GB+256,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 21 Note,16GB+256,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 21 Note,16GB+256,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 21 Note,16GB+256,pdd,,,,,,,,pending,
MEDIUM,魅族,魅族 21 Note,16GB+512,jd,,,,,,,,pending,
MEDIUM,魅族,魅族 21 Note,16GB+512,tmall,,,,,,,,pending,
MEDIUM,魅族,魅族 21 Note,16GB+512,pdd,,,,,,,,pending,
MEDIUM,荣耀,荣耀600 Pro,12GB+512GB,jd,,,,,,,,pending,
MEDIUM,荣耀,荣耀600 Pro,12GB+512GB,tmall,,,,,,,,pending,
MEDIUM,荣耀,荣耀600 Pro,12GB+512GB,pdd,,,,,,,,pending,
HIGH,荣耀,荣耀Magic8 Pro,12GB+512GB,jd,5999.00,,,,,,,pending,
HIGH,荣耀,荣耀Magic8 Pro,12GB+512GB,tmall,5999.00,,,,,,,pending,
HIGH,荣耀,荣耀Magic8 Pro,12GB+512GB,pdd,5999.00,,,,,,,pending,
MEDIUM,荣耀,荣耀Magic8 Pro,16GB+512GB,jd,,,,,,,,pending,
MEDIUM,荣耀,荣耀Magic8 Pro,16GB+512GB,tmall,,,,,,,,pending,
MEDIUM,荣耀,荣耀Magic8 Pro,16GB+512GB,pdd,,,,,,,,pending,
MEDIUM,荣耀,荣耀Magic8 Pro,16GB+1024GB,jd,,,,,,,,pending,
MEDIUM,荣耀,荣耀Magic8 Pro,16GB+1024GB,tmall,,,,,,,,pending,
MEDIUM,荣耀,荣耀Magic8 Pro,16GB+1024GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 13,12GB+256GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 13,12GB+256GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 13,12GB+256GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 13,12GB+512GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 13,12GB+512GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 13,12GB+512GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 13,16GB+512GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 13,16GB+512GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 13,16GB+512GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 13,24GB+1024GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 13,24GB+1024GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 13,24GB+1024GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,12GB+256GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,12GB+256GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,12GB+256GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,12GB+512GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,12GB+512GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,12GB+512GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+256GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+256GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+256GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+512GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+512GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+512GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+1024GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+1024GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 6,16GB+1024GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,12GB+256GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,12GB+256GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,12GB+256GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,12GB+512GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,12GB+512GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,12GB+512GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+256GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+256GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+256GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+512GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+512GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+512GB,pdd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+1024GB,jd,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+1024GB,tmall,,,,,,,,pending,
MEDIUM,一加,一加 Ace 5,16GB+1024GB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,256,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,256,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,256,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,512,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,1TB,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,1TB,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,1TB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,2TB,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,2TB,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 18 Pro,2TB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,256,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,256,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,256,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,512,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,1TB,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,1TB,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone Duo,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro+,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro+,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro+,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro+,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro+,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro+,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 RS 非凡大师,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 RS 非凡大师,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 RS 非凡大师,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 RS 非凡大师,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 RS 非凡大师,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 RS 非凡大师,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,12GB+256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,12GB+256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,12GB+256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,12GB+512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,12GB+512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,12GB+512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,16GB+512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,16GB+512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,16GB+512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate X6,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate XT 非凡大师,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro+,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro+,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro+,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro+,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro+,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Pro+,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,12GB+256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,12GB+256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,12GB+256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,12GB+512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,12GB+512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,12GB+512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,16GB+512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,16GB+512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,16GB+512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N5,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N5,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N5,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N5,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N5,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N5,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N6,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N6,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N6,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N6,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N6,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find N6,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro 卫星通信版,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro 卫星通信版,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Pro 卫星通信版,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,16GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,16GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,16GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8s+,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Ultra,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X8 Ultra,12GB+256,tmall,,,,,,,,pending,
