series,name,price,url,尺寸与重量_长度,尺寸与重量_宽度,尺寸与重量_厚度,尺寸与重量_重量,屏幕_屏幕尺寸,屏幕_屏幕色彩,屏幕_屏幕类型,屏幕_分辨率,处理器_CPU,处理器_GPU,存储_机身内存（ROM）,后置摄像头_后置摄像头配置,后置摄像头_后置摄像头变焦模式,后置摄像头_后置摄像头照片分辨率,后置摄像头_后置摄像头摄像分辨率,后置摄像头_后置摄像头拍摄功能,前置摄像头_前置摄像头像素,前置摄像头_前置摄像头照片分辨率,前置摄像头_前置摄像头摄像分辨率,前置摄像头_前置摄像头拍摄功能,数据连接_WLAN 频段,数据连接_WLAN 协议,数据连接_蓝牙,数据连接_数据线接口,数据连接_耳机接口,多媒体_音频,多媒体_视频,包装清单_外包装采用塑封，彩盒内标配：,屏幕_尺寸,屏幕_类型,存储_机身内存,充电_有线充电,数据连接_WLAN,数据连接_星闪,操作系统_HarmonyOS 6.0,屏幕_玻璃类型,存储_HUAWEI Mate X6,存储_HUAWEI Mate X6 典藏版,后置摄像头_后置摄像头对焦方式,后置摄像头_后置闪光灯,电池_HUAWEI Mate X6,电池_HUAWEI Mate X6 典藏版,充电_无线充电,数据连接_卫星通信,前置摄像头_前置摄像头视频拍摄,充电_有线快充,存储_运行内存（RAM）,后置摄像头_后置摄像头防抖模式,数据连接_超宽带（UWB）,存储_运行内存,前置摄像头_前置摄像头,屏幕_色彩,后置摄像头_后置摄像头,充电_有线充电：,充电_无线充电：,数据连接_查找功能,前置摄像头_前置摄像头变焦模式,操作系统_HarmonyOS 6.1,屏幕_屏幕像素密度,操作系统_HarmonyOS 4.3,存储_运行内存（RAM）+ 机身内存（ROM）,存储_扩展存储,后置摄像头_后置摄像头视频拍摄,存储_HUAWEI Pura X,存储_HUAWEI Pura X 典藏版,存储_HUAWEI Pura X Max,存储_HUAWEI Pura X Max 典藏版,屏幕_PPI,处理器_CPU 型号
Mate 系列,HUAWEI Mate 80 RS 非凡大师,11999,https://consumer.huawei.com/cn/phones/mate80-rs-ultimate-design/specs/,164.4 mm,79 mm,8.25 mm,约 249 g（含电池）,,,,FHD+ 2848 × 1320 像素,,,512 GB / 1 TB ROM,,支持 4 倍和 6.2 倍光学变焦（4 倍、6.2 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，90.5 mm，140 mm）、12.4 倍光学品质变焦、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,XMAGE 风格、AI 辅助构图、电影效果、舞台模式、超清全景、AI 超清增强、超级夜景、寰宇追月、绚丽星空、星空人像、AI 动态照片、视频 HDR Vivid、视频 Log、拍照 RAW 格式、闪拍、运动防抖、高画质模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、流光快门、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,XMAGE 风格、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.9 英寸,双层 OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,手机支持最大超级快充 100 W（20V/5A），兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,第三代玄武钢化昆仑玻璃,,,自动对焦,LED 闪光灯,,,支持 80 W 华为无线超级快充，支持无线反向充电。,天通卫星通信、北斗卫星消息,,,20 GB RAM,,,,1300 万像素超广角摄像头（F2.0 光圈，自动对焦）,10.7 亿色，BT.2020 超广色域,5000 万像素超高动态摄像头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,,,支持在线查找，离线查找，关机查找（关机响铃）,,,,,,,,,,,,,
nova 系列,HUAWEI nova 14,,https://consumer.huawei.com/cn/phones/nova14/specs/,161.73 mm,75.48 mm,7.18 mm,约 192 克（含电池）,,,,FHD+ 2412 × 1084 像素,,,,5000 万像素 RYYB 超感知镜头（F1.9 光圈）,支持 3 倍光学变焦（3 倍变焦为近似值，镜头焦段分别为 16 mm，23 mm，69 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,大光圈、夜景、人像、拍照、录像、短视频、专业模式、慢动作、全景、延时摄影、超级微距、高像素、声控拍照、笑脸抓拍、定时拍摄、自动添加水印、动态照片、滤镜、扫码、人像追焦、人像留色、人像虚化,,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、短视频、延时摄影、全景、慢动作、高像素、自动添加水印、动态照片、自拍镜像、笑脸抓拍、声控拍照、定时拍摄、滤镜、美颜,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、立体声,*.mp4,,6.7 英寸,OLED，支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB ROM,,2.4 GHz 和 5 GHz,,,,,,,,,,,,,,,,,,,10.7 亿色，P3 广色域,,,,,,,,,,,,,,,,,
nova 系列,HUAWEI nova 14 活力版,2399,https://consumer.huawei.com/cn/phones/nova14-huoliban/specs/,161.75 mm,75.49 mm,7.15 mm,约 191 克（含电池）,,,,FHD+ 2412 × 1084 像素,,,,5000 万像素 RYYB 超感知镜头（F1.9 光圈）,支持 10 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,大光圈、夜景、人像、拍照、录像、短视频、专业模式、慢动作、全景、延时摄影、超级微距、高像素、声控拍照、笑脸抓拍、定时拍摄、自动添加水印、动态照片、滤镜、扫码、人像追焦、人像留色、人像虚化,,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、短视频、延时摄影、全景、慢动作、高像素、自动添加水印、动态照片、自拍镜像、笑脸抓拍、声控拍照、定时拍摄、滤镜、美颜,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、立体声,*.mp4,,6.7 英寸,OLED，支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB ROM,,2.4 GHz 和 5 GHz,,,,,,,,,,,,,,,,,,,10.7 亿色，P3 广色域,,,,,不支持,,,,,,,,,,,,
nova 系列,HUAWEI nova 14 Pro,,https://consumer.huawei.com/cn/phones/nova14-pro/specs/,163.4 mm,75.0 mm,7.68 mm,普通版：约 207 克（含电池） 昆仑版：约 204 克（含电池）,,,,FHD+ 2776 × 1224 像素,,,,5000 万像素 RYYB 可变光圈防抖镜头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,支持 3 倍光学变焦（3 倍变焦为近似值，镜头焦段分别为 16 mm，24 mm，69 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、风驰闪拍、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、滤镜、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、风驰闪拍、慢动作、人像模式、原生、质感、妆感、延时摄影、滤镜、笑脸抓拍、自拍镜像、声控拍照、夜景模式、延时摄影、高像素、自动添加水印、定时拍摄、短视频、近物对焦、风噪抑制,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、立体声,*.mp4,,6.78 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB / 1 TB ROM,,2.4 GHz 和 5 GHz,,,,,,,,,,,,,,,,,,,10.7 亿色，P3 广色域,,,,,2 倍光学变焦,,,,,,,,,,,,
nova 系列,HUAWEI nova 14 Ultra,4199,https://consumer.huawei.com/cn/phones/nova14-ultra/specs/,163.4 mm,75.6 mm,7.78 mm,约 204 克（含电池）,,,,FHD+ 2860 × 1272 像素,,,,5000 万像素 RYYB 可变光圈防抖镜头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,后置摄像头：支持 3.7 倍光学变焦（3.7 倍变焦为近似值，镜头焦段分别为 13 mm，24 mm，88 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、风驰闪拍、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、滤镜、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,AI动态照片、视频 HDR Vivid、风驰闪拍、慢动作、人像模式、原生、质感、妆感、延时摄影、滤镜、笑脸抓拍、自拍镜像、声控拍照、夜景模式、延时摄影、高像素、自动添加水印、定时拍摄、短视频、近物对焦、风噪抑制,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、立体声,*.mp4,,6.81 英寸,OLED，支持 1-120 Hz LTPO 三分区自适应局部刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB / 1 TB ROM,,2.4 GHz 和 5 GHz,,,,,,,,,,,,,,,,,,,10.7 亿色，P3 广色域,,,,,2 倍光学变焦,,,,,,,,,,,,
nova 系列,HUAWEI nova 15,2999,https://consumer.huawei.com/cn/phones/nova15/specs/,161.87 mm,75.5 mm,7.2 mm,约 196 克（含电池）,,,,FHD+ 2412 × 1084 像素,麒麟8020,,,5000 万像素超高清镜头（F1.9 光圈）,支持 3 倍光学变焦（3 倍变焦为近似值，镜头焦段分别为 23 mm，69 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,个性色卡、AI 辅助构图、舞台模式、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、夜景模式、长焦画中画、高像素模式、延时摄影、人像模式、专业模式、慢动作、全景模式、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,,最大可支持 8192 × 6144 像素,最大可支持 4K（3840 × 2160）视频录制，支持 AIS 防抖,个性色卡、AI 云增强、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、原生、质感、妆感、延时摄影、笑脸抓拍、自拍镜像、声控拍照、夜景模式、高像素、自动添加水印、定时拍摄、风噪抑制,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、立体声,*.mp4,,6.7 英寸,OLED，支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB ROM,手机支持最大超级快充 100 W（20V/5A），兼容 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充,2.4 GHz 和 5 GHz,支持，星闪 E1.0,,铝硅玻璃,,,自动对焦,LED 闪光灯,,,,,,,,,,,,10.7 亿色，P3 广色域,,,,,,,,,,,,,,,,,
nova 系列,HUAWEI nova 15 Pro,3799,https://consumer.huawei.com/cn/phones/nova15-pro/specs/,163 mm,78 mm,6.9 mm,约 202 克（含电池）,,,,FHD+ 2856 × 1320 像素,麒麟9010S,,,5000 万像素 RYYB 超感知防抖镜头（F1.8 光圈，OIS 光学防抖，RYYB 传感器）,支持 3 倍光学变焦（3 倍变焦为近似值，镜头焦段分别为 13 mm，24 mm，69 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,个性色卡、AI 辅助构图、舞台模式、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,,最大可支持 8192 × 6144 像素,最大可支持 4K（3840 × 2160）视频录制，支持 AIS 防抖,个性色卡、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、慢动作、人像模式、原生、质感、妆感、延时摄影、笑脸抓拍、自拍镜像、声控拍照、夜景模式、高像素、自动添加水印、定时拍摄、短视频、近物对焦、风噪抑制,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、立体声,*.mp4,,6.84 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB ROM,手机支持最大超级快充 100 W（20V/5A），兼容 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,昆仑玻璃,,,自动对焦,LED 闪光灯,,,,,,,,,,,,10.7 亿色，P3 广色域,,,,,,,,,,,,,,,,,
nova 系列,HUAWEI nova 15 Ultra,4499,https://consumer.huawei.com/cn/phones/nova15-ultra/specs/,163 mm,78 mm,6.8 mm,约 209 克（含电池）,,,,FHD+ 2856 × 1320 像素,麒麟9010S,,,5000 万像素 RYYB 可变光圈防抖镜头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,支持 3.7 倍光学变焦（3.7 倍变焦为近似值，镜头焦段分别为 13 mm，24 mm，88 mm）,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制，支持 AIS 防抖,个性色卡、AI 辅助构图、舞台模式、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,,最大可支持 8192 × 6144 像素,最大可支持 4K（3840 × 2160）视频录制，支持 AIS 防抖,个性色卡、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、慢动作、人像模式、原生、质感、妆感、延时摄影、笑脸抓拍、自拍镜像、声控拍照、夜景模式、高像素、自动添加水印、定时拍摄、短视频、近物对焦、风噪抑制,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、立体声,*.mp4,,6.84 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB / 1 TB ROM,手机支持最大超级快充 100 W（20V/5A），兼容 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,昆仑玻璃（256 GB 和 512 GB ROM 版本） 玄武钢化昆仑玻璃（1 TB ROM 版本）,,,自动对焦,双 LED 闪光灯,,,支持 50 W 华为无线超级快充，支持 7.5 W 无线反向充电,,,,,,,,,10.7 亿色，P3 广色域,,,,,,,,,,,,,,,,,
nova 系列,HUAWEI nova 16,2999,https://consumer.huawei.com/cn/phones/nova16/specs/,159.6 mm,75.5 mm,7.3 mm,约 199 克（含电池）,,,,FHD+ 2800 × 1280像素,麒麟9010S,,,5000 万像素超高清镜头（F1.9 光圈）,支持 3.3 倍光学变焦（3.3 倍变焦为近似值，镜头焦段分别为 23 mm，88 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,寰宇追月、录中闪拍、人像模式(原生、质感、妆感)、端侧 AI 长焦增强*、个性色卡、AI 辅助构图、舞台模式、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、夜景模式、长焦画中画、高像素模式、延时摄影、专业模式、慢动作、全景模式、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,5000 万像素超清人像镜头（F2.4 光圈）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,录中闪拍、个性色卡、AI 云增强、AI 动态照片、视频 HDR Vivid、慢动作、人像模式(原生、质感、妆感)、延时摄影、笑脸抓拍、自拍镜像、声控拍照、夜景模式、高像素、自动添加水印、定时拍摄、风噪抑制,,,蓝牙 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen,*.mp4,,6.68 英寸,OLED，支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB,支持最大超级快充 100 W（20V/5A），兼容 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,铝硅玻璃,,,自动对焦,LED 闪光灯,,,不支持,,,,,,,,,10.7 亿色，P3 广色域,,,,支持在线查找，离线查找，关机查找,,,,,,,,,,,,,
nova 系列,HUAWEI nova 16 Pro,3899,https://consumer.huawei.com/cn/phones/nova16-pro/specs/,163 mm,78 mm,7.1 mm,约 218 g（含电池）,,,,FHD+ 2856 × 1320 像素,麒麟9010S,,,2 亿像素 RYYB 超高清大底防抖镜头（F1.8 光圈，OIS 光学防抖）,支持 3.7 倍光学变焦（3.7 倍变焦为近似值，镜头焦段分别为 23 mm，13 mm，88 mm）,最大可支持 16384 × 12288 像素,最大可支持 3840 × 2160 像素,寰宇追月、录中闪拍、人像模式(原生、质感、妆感)、端侧 AI 长焦增强*、个性色卡、AI 辅助构图、舞台模式、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、专业模式、慢动作、全景模式、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,5000 万像素超清人像镜头（F2.4 光圈）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,录中闪拍、个性色卡、AI 云增强、AI 动态照片、视频 HDR Vivid、慢动作、人像模式(原生、质感、妆感)、延时摄影、笑脸抓拍、自拍镜像、声控拍照、夜景模式、高像素、自动添加水印、定时拍摄、短视频、风噪抑制,,,蓝牙 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen,*.mp4,,6.84 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB / 1 TB,支持最大超级快充 100 W（20V/5A），兼容 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,昆仑玻璃,,,自动对焦,LED 闪光灯,,,不支持,,,,,,,,,10.7 亿色，P3 广色域,,,,支持在线查找，离线查找，关机查找,,,,,,,,,,,,,
nova 系列,HUAWEI nova 16 SE,2499,https://consumer.huawei.com/cn/phones/nova16-se/specs/,163.3 mm,78 mm,7.98 mm,约 229 g（含电池）,,,,FHD+ 2756 × 1272,,,,5000 万像素超感知摄像头（F1.9 光圈，RYYB 传感器）,支持 10 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、专业模式、慢动作、全景、延时摄影、高像素、声控拍照、笑脸抓拍、定时拍摄、短视频,3200 万像素（F2.2 光圈）,最大可支持 6528 × 4896 像素,最大可支持 3840 × 2160 像素,夜景、人像、拍照、录像、延时摄影、笑脸抓拍、声控拍照、定时拍摄、短视频、高像素、慢动作,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen、对称立体声,*.mp4,,6.84 英寸,OLED，最高支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,128G / 256 GB / 512 GB,,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,,,,自动对焦,LED 闪光灯,,,,,,,,,,,,10.7 亿色，P3 广色域,,,,支持在线查找，离线查找，关机查找,,128G / 256 GB / 512 GB,,,,,,,,,,,
nova 系列,HUAWEI nova 16 Ultra,4699,https://consumer.huawei.com/cn/phones/nova16-ultra/specs/,163 mm,78 mm,7.1 mm,约 220 g（含电池）,,,,FHD+ 2856 × 1320 像素,麒麟9010S,,,2 亿像素 RYYB 超高清大底防抖镜头（F1.8 光圈，OIS 光学防抖）,支持 3.7 倍光学变焦（3.7 倍变焦为近似值，镜头焦段分别为 23 mm，13 mm，88 mm）,最大可支持 16384 × 12288 像素,最大可支持 3840 × 2160 像素,寰宇追月、录中闪拍、人像模式(原生、质感、妆感)、端侧 AI 长焦增强*、个性色卡、AI 辅助构图、舞台模式、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、专业模式、慢动作、全景模式、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,5000 万像素超聚光人像镜头（F2.0 光圈）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,录中闪拍、个性色卡、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、慢动作、人像模式(原生、质感、妆感)、延时摄影、笑脸抓拍、自拍镜像、声控拍照、夜景模式、高像素、自动添加水印、定时拍摄、短视频、近物对焦、风噪抑制,,,蓝牙 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen,*.mp4,,6.84 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB / 1 TB,支持最大超级快充 100 W（20V/5A），兼容 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,昆仑玻璃,,,自动对焦,LED 闪光灯,,,支持 50 W 华为无线超级快充，支持 7.5 W 无线反向充电。,,,,,,,,,10.7 亿色，P3 广色域,,,,支持在线查找，离线查找，关机查找,,,,,,,,,,,,,
nova 系列,HUAWEI nova 16z,2699,https://consumer.huawei.com/cn/phones/nova16-z/specs/,161.79 mm,75.47 mm,7.19 mm,约 196.5 g（含电池）,,,,FHD+ 2412 × 1084像素,麒麟8020,,,5000 万像素超高清镜头（F1.9 光圈）,支持 3 倍光学变焦（3 倍变焦为近似值，镜头焦段分别为 23 mm，69 mm）,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,录中闪拍*、人像模式(原生、质感、妆感)*、个性色卡、AI 辅助构图、舞台模式、AI 云增强、AI 动态照片、视频 HDR Vivid、风驰闪拍、夜景模式、长焦画中画、高像素模式、延时摄影、专业模式、慢动作、全景模式、AI 摄影大师、笑脸抓拍、声控拍照、连拍、定时拍摄、自动添加水印、短视频、人像追焦、人像留色、人像虚化、风噪抑制,5000 万像素超清人像镜⁠头（F2.4 光圈）,最大可支持 8192 × 6144像素,最大可支持 3840 × 2160 像素,录中闪拍、个性色卡、AI 云增强、AI 动态照片、视频 HDR Vivid、慢动作、人像模式(原生、质感、妆感)、延时摄影、笑脸抓拍、自拍镜像、声控拍照、夜景模式、高像素、自动添加水印、定时拍摄、风噪抑制,,,蓝牙 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，支持 USB 2.0,USB Type-C 接口,Huawei Histen,*.mp4,,6.7 英寸,OLED，支持 120 Hz 刷新率，2160 Hz 高频 PWM 调光，300 Hz 触控采样率,256 GB / 512 GB,支持最大超级快充 100 W（20V/5A），兼容 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,铝硅玻璃,,,自动对焦,LED 闪光灯,,,不支持,,,,,,,,,10.7 亿色，P3 广色域,,,,,,,,,,,,,,,,,
Pocket 系列,HUAWEI Pocket 2 优享版,,https://consumer.huawei.com/cn/phones/pocket-2-youxiangban/specs/,展开态：170 mm,75.5 mm,玻璃版：,素皮版：约 199 克（含电池）,,,,内屏：FHD+，2690 × 1136 像素,,,,,支持 3 倍光学变焦（3 倍变焦为近似值，镜头焦段分别为 13 mm，23 mm，80 mm）、30 倍数字变焦,最大可支持 8192 × 6144 像素,,荧光摄影、镜像智拍、百宝箱、微距视频、视频 HDR Vivid、微距画中画、长焦画中画、微电影、高像素模式、延时摄影、超大广角、大光圈虚化、双景录像、超级夜景、超级微距、人像模式、专业模式、慢动作、全景模式、智能滤镜、水印、文档矫正、AI 摄影大师、动态照片、4D 预测追焦、笑脸抓拍、声控拍照、定时拍照、连拍、快拍、流光快门、多机位,,最大可支持 3776 × 2832 像素,最大支持 3840 × 2160 像素,视频 HDR Vivid、慢动作、智能广角切换、夜景模式、人像模式、全景模式、延时摄影、动态照片、智能滤镜、水印、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 2.0,USB Type-C,华为 Histen，支持立体声,*.3gp、*.mp4,手机（内置电池）× 1,内屏：6.94 英寸,内屏：OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300Hz 触控采样率,,,802.11 a/b/g/n/ac/ax，2 × 2 MIMO，HE160，1024 QAM，8 Spatial-stream Sounding MU-MIMO,,,,,,自动对焦,LED 闪光灯,,,,,,,,,,,1070 万像素超广角摄像头（F2.2 光圈）,10.7 亿色，P3 广色域,5000 万像素超感知摄像头（F1.6 光圈，OIS）,,,,,,内屏：420 ppi,12 GB RAM + 256 GB / 512 GB ROM,12 GB RAM + 256 GB / 512 GB ROM,NM 存储卡，最大支持 512 GB,最大支持 4K（3840 × 2160）视频录制，支持 OIS 和 AIS 防抖；,,,,,,
